IDITEM;IDBRAND;IDTYPE;IDCATEGORY;ARTNR;PARTNR;DESCRIPTION;TEXT1;TEXT2;TEXT3;TEXT4;TEXT5;TEXT6;TEXT7;TEXT8;TEXT9;TEXT10;NUMBER1;NUMBER2;NUMBER3;NUMBER4;NUMBER5;NUMBER6;NUMBER7;NUMBER8;NUMBER9;NUMBER10;BOOL1;BOOL2;BOOL3;BOOL4;BOOL5;BOOL6;BOOL7;BOOL8;BOOL9;BOOL10;TIMESTAMP
40062094;20000264;item;145131000;;;Pixma IP 5000;;;;;;;;;;;5000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40062095;20000264;item;145131000;;;Pixma IP 4000 P;;;;;;;;;;;4000;;;;;;;;;;;;F;;;;;;;;20.02.2026
40058098;20000264;item;145131000;;;BJ 895 PD;;;;;;;;;;;895;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058099;20000264;item;145131000;;;BJ 535 PD;;;;;;;;;;;535;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058100;20000264;item;145131000;;;BJ-F 9000;;;;;;;;;;;9000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057274;20000264;item;145142000;;;Fax L 3500 IF;;;;;;;;;;;3500;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057275;20000264;item;145142000;;;Fax L 4500 IF;;;;;;;;;;;4500;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057277;20000264;item;145142000;;;Laser Class 4000;;;;;;;;;;;4000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057278;20000264;item;145142000;;;Laser Class 4500;;;;;;;;;;;4500;;;;;;;;;;;;T;;;;;;;;20.02.2026
40057279;20000264;item;145142000;;;Laser Class 6000;;;;;;;;;;;6000;;;;;;;;;;;;T;;;;;;;;20.02.2026
40059694;20000264;item;145131000;;;I 960;;;;;;;;;;;960;;;;;;;;;;;;T;;;;;;;;20.02.2026
40059695;20000264;item;145131000;;;I 900 D;;;;;;;;;;;900;;;;;;;;;;;;F;;;;;;;;20.02.2026
40059698;20000264;item;145131000;;;I 860;;;;;;;;;;;860;;;;;;;;;;;;T;;;;;;;;20.02.2026
40059614;20000264;item;145131000;8567 A 006;;I 560;;;;;;;;;;;560;;;;;;;;;;;;F;;;;;;;;20.02.2026
40061862;20000264;item;145142000;9192 A 006;;Faxphone L 80;;;;;;;;;;;80;;;;;;;;;;;;T;;;;;;;;20.02.2026
40061863;20000264;item;145142000;0815 B 002;;Faxphone L 170;;;;;;;;;;;170;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058919;20000264;item;145123000;7994 A 005;;PC-D 320;;;;;;;;;;;320;;;;;;;;;;;;T;;;;;;;;20.02.2026
40058920;20000264;item;145123000;8098 A 005;;PC-D 340;;;;;;;;;;;340;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009658;20000264;item;145142000;;;Fax L 250;;;;;;;;;;;250;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009659;20000264;item;145142000;0690 A 009;;Fax L 260 I;;;;;;;;;;;260;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009660;20000264;item;145142000;;;Fax L 300;;;;;;;;;;;300;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009690;20000264;item;145142000;;;Fax L 90;;;;;;;;;;;90;;;;;;;;;;;;T;;;;;;;;20.02.2026
90001224;20000728;group;2009;;;308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20.02.2026
40047805;20001400;item;145142000;;;T-Fax 374 L;;;;;;;;;;;374;;;;;;;;;;;;T;;;;;;;;20.02.2026
40047806;20001400;item;145142000;;;T-Fax 382 L;;;;;;;;;;;382;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009674;20000264;item;145142000;;;Fax L 60;;;;;;;;;;;60;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009919;20000264;item;145123000;;;Multipass L 60;;;;;;;;;;;60;;;;;;;;;;;;T;;;;;;;;20.02.2026
40009920;20000264;item;145123000;;;Multipass L 90;;;;;;;;;;;90;;;;;;;;;;;;T;;;;;;;;20.02.2026
34000352;20000098;group;2007;;;LQ;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000353;20000101;group;2007;;;DP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000354;20000204;group;2007;;;A;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000355;20000218;group;2007;;;Fax-Com;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000356;20000228;group;2007;;;Paperjet;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000357;20000243;group;2007;;;CSF;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000358;20000243;group;2007;;;PRT;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000359;20000243;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000360;20000243;group;2007;;;TWU;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
34000361;20000243;group;2007;;;Italia;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
34000362;20000243;group;2007;;;Pagemaster;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000364;20000243;group;2007;;;TTU;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
34000624;20001768;group;2007;;;D;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000625;20001768;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000626;20001768;group;2007;;;DA;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000627;20001988;group;2007;;;RZ;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000628;20001988;group;2007;;;M;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000629;20001988;group;2007;;;P;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
34000630;50096914;group;2007;;;P;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000795;20001210;group;2007;;;F;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000796;20001210;group;2007;;;Faxstation;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000797;20001210;group;2007;;;P;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000798;20001210;group;2007;;;Printstation;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000799;20001210;group;2007;;;R;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;20.02.2026
31000800;20001214;group;2007;;;Aficio;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000801;20001214;group;2007;;;Aficio AP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000802;20001214;group;2007;;;Aficio FW;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000803;20001214;group;2007;;;Aficio BP;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000805;20001214;group;2007;;;Aficio Color;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000806;20001214;group;2007;;;Aficio FX;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000807;20001214;group;2007;;;Aficio G;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
31000808;20001214;group;2007;;;Bizworks;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;20.02.2026
