IDITEM;IDBRAND;BRAND;ARTNR;TEXT;IDCATEGORY;CATEGORY;PRINTERSERIES;EAN;NZPICTURE
40061991;20000264;Canon;9790 A 006;Pixma MP 750;145132000;Multifunction InkJet;Pixma;4960999249995;
40061992;20000264;Canon;9791 A 009;Pixma MP 780;145132000;Multifunction InkJet;Pixma;4960999250014;
40061377;20000264;Canon;;I 560 X;145131000;InkJet-Printer;I;;
40061378;20000264;Canon;9388 A 004;Laserbase MF 5630;145123000;Multifunction laser;Laserbase;4960999209654;
40061379;20000264;Canon;9388 A 007;Laserbase MF 5650;145123000;Multifunction laser;Laserbase;4960999209685;
40062092;20000264;Canon;9325 A 017;Pixma IP 8500;145131000;InkJet-Printer;Pixma;4960999211787;
40062093;20000264;Canon;;Pixma IP 6000 D;145131000;InkJet-Printer;Pixma;;
40062094;20000264;Canon;;Pixma IP 5000;145131000;InkJet-Printer;Pixma;4960999216935;
40062095;20000264;Canon;;Pixma IP 4000 P;145131000;InkJet-Printer;Pixma;;
40058098;20000264;Canon;;BJ 895 PD;145131000;InkJet-Printer;BJ;;
40058099;20000264;Canon;;BJ 535 PD;145131000;InkJet-Printer;BJ;;
40058100;20000264;Canon;;BJ-F 9000;145131000;InkJet-Printer;BJ;;
40057274;20000264;Canon;;Fax L 3500 IF;145142000;Laser fax;Fax L;;
40057275;20000264;Canon;;Fax L 4500 IF;145142000;Laser fax;Fax L;;
40057277;20000264;Canon;;Laser Class 4000;145142000;Laser fax;Laser Class;;
40057278;20000264;Canon;;Laser Class 4500;145142000;Laser fax;Laser Class;;
40057279;20000264;Canon;;Laser Class 6000;145142000;Laser fax;Laser Class;;
40059694;20000264;Canon;;I 960;145131000;InkJet-Printer;I;;
40059695;20000264;Canon;;I 900 D;145131000;InkJet-Printer;I;;
40059698;20000264;Canon;;I 860;145131000;InkJet-Printer;I;;
40059614;20000264;Canon;8567 A 006;I 560;145131000;InkJet-Printer;I;4960999186153;
40061862;20000264;Canon;9192 A 006;Faxphone L 80;145142000;Laser fax;Faxphone;0013803035421;
40061863;20000264;Canon;0815 B 002;Faxphone L 170;145142000;Laser fax;Faxphone;0013803038477;
40058919;20000264;Canon;7994 A 005;PC-D 320;145123000;Multifunction laser;PC-D;4960999181776;
40058920;20000264;Canon;8098 A 005;PC-D 340;145123000;Multifunction laser;PC-D;8714574172828;
40009658;20000264;Canon;;Fax L 250;145142000;Laser fax;Fax L;;
40009659;20000264;Canon;0690 A 009;Fax L 260 I;145142000;Laser fax;Fax L;4960999231358;
40009660;20000264;Canon;;Fax L 300;145142000;Laser fax;Fax L;;
40009690;20000264;Canon;;Fax L 90;145142000;Laser fax;Fax L;;
40047805;20001400;Telekom;;T-Fax 374 L;145142000;Laser fax;T-Fax;;
40047806;20001400;Telekom;;T-Fax 382 L;145142000;Laser fax;T-Fax;;
40009674;20000264;Canon;;Fax L 60;145142000;Laser fax;Fax L;;
40009919;20000264;Canon;;Multipass L 60;145123000;Multifunction laser;Multipass;;
40009920;20000264;Canon;;Multipass L 90;145123000;Multifunction laser;Multipass;;
40057039;20000264;Canon;;Laser Class 2050;145142000;Laser fax;Laser Class;;
40057040;20000264;Canon;;Laser Class 1060 P;145142000;Laser fax;Laser Class;;
40057041;20000264;Canon;;Laser Class 2060 P;145142000;Laser fax;Laser Class;;
40057042;20000264;Canon;;Laser Class 2060;145142000;Laser fax;Laser Class;;
40054017;20000264;Canon;;BJC 8200;145131000;InkJet-Printer;BJC;;
40057056;20000264;Canon;;CFX L 4000;145123000;Multifunction laser;CFX;;
40057057;20000264;Canon;;Fax L 4000;145142000;Laser fax;Fax L;;
40057058;20000264;Canon;;imageCLASS 1100;145111000;Digital Copier;imageCLASS;;
40056536;20000264;Canon;6859 A 006;S 820;145131000;InkJet-Printer;S;4960999006598;
40060842;20000264;Canon;;I 9900;145131000;InkJet-Printer;I;;
40060843;20000264;Canon;8580 A 017;I 9950;145131000;InkJet-Printer;I;4960999211756;
40058212;20000264;Canon;7822 A 006;I 950;145131000;InkJet-Printer;I;4960999048628;
40062181;20000264;Canon;9866 A 002;Laserbase MF 3110;145123000;Multifunction laser;Laserbase;4960999244617;
40057666;20001400;Telekom;;T-Fax 8400;145142000;Laser fax;T-Fax;;
40060539;20000264;Canon;;Laser Class 2050 P;145142000;Laser fax;Laser Class;;
40061060;20000264;Canon;;CFX L 4500 iF;145123000;Multifunction laser;CFX;;
40059922;20000264;Canon;8568 A 006;I 905 D;145131000;InkJet-Printer;I;4960999186399;
40059923;20000264;Canon;8536 A 006;I 865;145131000;InkJet-Printer;I;4960999185347;
40059924;20000264;Canon;8538 A 006;I 965;145131000;InkJet-Printer;I;4960999185569;
40059932;20001400;Telekom;;T-Fax 8401;145142000;Laser fax;T-Fax;;
50079096;20000264;Canon;4206 B 006;Pixma MX 870;145132000;Multifunction InkJet;Pixma;4960999658421;
50072459;20000264;Canon;;Pixma IP 1900;145131000;InkJet-Printer;Pixma;;
40091305;20000264;Canon;;Pixma IP 4500 X;145131000;InkJet-Printer;Pixma;;
40091311;20000264;Canon;2234 B 007;Faxphone L 90;145142000;Laser fax;Faxphone;0013803082029;
40093887;20000264;Canon;2711 B 116;i-SENSYS MF 4330 d;145123000;Multifunction laser;i-SENSYS;8714574528663;
40091889;20000264;Canon;2909 B 009;Pixma IP 4600;145131000;InkJet-Printer;Pixma;4960999576947;
40091984;20000264;Canon;2868 B 009;Pixma IP 3600;145131000;InkJet-Printer;Pixma;4960999576251;
40069622;20000264;Canon;1827 B 026;i-SENSYS MF 4690 pl;145123000;Multifunction laser;i-SENSYS;8714574539805;
40069623;20000264;Canon;1827 B 027;i-SENSYS MF 4660 pl;145123000;Multifunction laser;i-SENSYS;8714574507712;
40069624;20000530;Digital Equipment Corp;;L 100;145123000;Multifunction laser;;;
40078460;20000264;Canon;2711 B 119;i-SENSYS MF 4370 dn;145123000;Multifunction laser;i-SENSYS;8714574528694;
40078492;20000264;Canon;3303 B 017;Fax JX 210 P;145141000;InkJet-Fax;Fax JX;8714574532332;
40081226;20000264;Canon;2711 B 118;i-SENSYS MF 4350 d;145123000;Multifunction laser;i-SENSYS;8714574528687;
40070802;20000264;Canon;2175 B 006;Pixma MP 210;145132000;Multifunction InkJet;Pixma;4960999455082;
40068882;20000264;Canon;8822 A 003;i-SENSYS LBP-3200;145121000;Laserprinter;i-SENSYS;;
40068887;20000264;Canon;;i-SENSYS LBP-3240;145121000;Laserprinter;i-SENSYS;;
40068888;20000264;Canon;;Lasershot LBP-3240;145121000;Laserprinter;Lasershot;;
40068890;20000264;Canon;;i-SENSYS MF 3240;145123000;Multifunction laser;i-SENSYS;;
40068893;20000264;Canon;0989 B 006;i-SENSYS MF 3220;145123000;Multifunction laser;i-SENSYS;4960999323442;
40071663;20000264;Canon;2174 B 006;Pixma MP 140;145132000;Multifunction InkJet;Pixma;4960999455662;
40067642;20000264;Canon;1449 B 006;Pixma MP 460;145132000;Multifunction InkJet;Pixma;4960999358482;
40079047;20000264;Canon;0574 B 045;Fax L 95;145142000;Laser fax;Fax L;;
40079240;20000264;Canon;2922 B 006;Pixma MP 980;145132000;Multifunction InkJet;Pixma;4960999579498;
40067966;20000264;Canon;;Pixma IP 3100;145131000;InkJet-Printer;Pixma;;
40073311;20000264;Canon;;Fax L 95 IN;145142000;Laser fax;Fax L;;
40071472;20000264;Canon;1483 B 088;i-SENSYS MF 4010;145123000;Multifunction laser;i-SENSYS;4960999459097;
40087483;20000264;Canon;3295 B 002;Pixma Pro 9000 Mark II;145131000;InkJet-Printer;Pixma;4960999625164;
40068963;20000264;Canon;;Pixma IP 2500;145131000;InkJet-Printer;Pixma;4960999415406;
40069119;20000264;Canon;;i-SENSYS Fax L 100;145142000;Laser fax;i-SENSYS;;
40069120;20000264;Canon;;i-SENSYS Fax L 120;145142000;Laser fax;i-SENSYS;;
40069121;20000264;Canon;;i-SENSYS Fax L 380 S;145142000;Laser fax;i-SENSYS;;
40069122;20000264;Canon;;i-SENSYS Fax L 390;145142000;Laser fax;i-SENSYS;;
40069123;20000264;Canon;;Pixma IP 1800;145131000;InkJet-Printer;Pixma;;
40071122;20000264;Canon;2178 B 025;Pixma MP 520;145132000;Multifunction InkJet;Pixma;4960999454610;
40071123;20000264;Canon;2180 B 006;Pixma MP 610;145132000;Multifunction InkJet;Pixma;4960999454726;
40071124;20000264;Canon;2181 B 006;Pixma MP 970;145132000;Multifunction InkJet;Pixma;4960999454863;
40071125;20000264;Canon;2182 B 009;Pixma MX 300;145132000;Multifunction InkJet;Pixma;8714574513188;
40074310;20000264;Canon;2711 B 115;i-SENSYS MF 4320 d;145123000;Multifunction laser;i-SENSYS;8714574528632;
40074498;20000264;Canon;;Pixma IP 4200 X;145131000;InkJet-Printer;Pixma;;
40071126;20000264;Canon;2184 B 009;Pixma MX 310;145132000;Multifunction InkJet;Pixma;4960999455051;
40071127;20000264;Canon;2186 B 009;Pixma MX 700;145132000;Multifunction InkJet;Pixma;4960999455143;
40071128;20000264;Canon;2170 B 009;Pixma IP 3500;145131000;InkJet-Printer;Pixma;4960999454412;
40071129;20000264;Canon;2171 B 009;Pixma IP 4500;145131000;InkJet-Printer;Pixma;4960999454528;
40071131;20000264;Canon;2176 B 006;Pixma MP 220;145132000;Multifunction InkJet;Pixma;4960999455259;
40077314;20000264;Canon;2919 B 006;Pixma MP 540;145132000;Multifunction InkJet;Pixma;4960999578996;
40067637;20000264;Canon;1436 B 009;Pixma IP 1700;145131000;InkJet-Printer;Pixma;4960999403083;
40067638;20000264;Canon;;Pixma IP 6310 D;145131000;InkJet-Printer;Pixma;;
40067639;20000264;Canon;1441 B 006;Pixma IP 6700 D;145131000;InkJet-Printer;Pixma;4960999359694;
40067640;20000264;Canon;1447 B 006;Pixma MP 160;145132000;Multifunction InkJet;Pixma;4960999358246;
40067641;20000264;Canon;1448 B 006;Pixma MP 180;145132000;Multifunction InkJet;Pixma;4960999358369;
50209711;20000569;EGT;;Agoris 6108;145142000;Laser fax;Agoris;;
40087947;20000264;Canon;3304 B 017;Fax JX 510 P;145141000;InkJet-Fax;Fax JX;8714574532424;
40081702;20000264;Canon;2920 B 006;Pixma MP 630;145132000;Multifunction InkJet;Pixma;4960999579146;
40073564;20000264;Canon;2921 B 006;Pixma MP 620;145132000;Multifunction InkJet;Pixma;4960999579283;
40073798;20000264;Canon;2711 B 117;i-SENSYS MF 4340 d;145123000;Multifunction laser;i-SENSYS;8714574528670;
40076785;20000264;Canon;;Pixma IP 4600 X;145131000;InkJet-Printer;Pixma;;
40067763;20000264;Canon;1450 B 006;Pixma MP 510;145132000;Multifunction InkJet;Pixma;4960999358604;
40067764;20000264;Canon;1451 B 006;Pixma MP 600;145132000;Multifunction InkJet;Pixma;4960999358840;
40067765;20000264;Canon;1453 B 006;Pixma MP 810;145132000;Multifunction InkJet;Pixma;4960999359328;
40067766;20000264;Canon;1452 B 006;Pixma MP 600 R;145132000;Multifunction InkJet;Pixma;4960999358963;
40067767;20000264;Canon;1483 B 063;i-SENSYS MF 4120;145123000;Multifunction laser;i-SENSYS;8714574999500;
40067768;20000264;Canon;1483 B 062;i-SENSYS MF 4140;145123000;Multifunction laser;i-SENSYS;8714574999494;
40067769;20000264;Canon;1483 B 061;i-SENSYS MF 4150;145123000;Multifunction laser;i-SENSYS;8714574999487;
40067772;20000264;Canon;1437 B 009;Pixma IP 3300;145131000;InkJet-Printer;Pixma;4960999403076;
40067773;20000264;Canon;1439 B 009;Pixma IP 5300;145131000;InkJet-Printer;Pixma;4960999403069;
40068414;20000264;Canon;1735 B 017;Fax JX 200;145141000;InkJet-Fax;Fax JX;8714574988788;
40068415;20000264;Canon;1732 B 017;Fax JX 500;145141000;InkJet-Fax;Fax JX;8714574988702;
40079995;20000264;Canon;3747 B 002;Pixma MP 560;145132000;Multifunction InkJet;Pixma;4960999640488;
40085199;20000264;Canon;2711 B 120;i-SENSYS MF 4380 dn;145123000;Multifunction laser;i-SENSYS;8714574528700;
40068383;20000264;Canon;;Pixma IP 1200;145131000;InkJet-Printer;Pixma;;
40068384;20000264;Canon;1435 B 008;Pixma IP 1300;145131000;InkJet-Printer;Pixma;4960999357751;
40067778;20000264;Canon;1438 B 009;Pixma IP 4300;145131000;InkJet-Printer;Pixma;4960999403274;
50079570;20000264;Canon;2711 B 135;PC-D 440;145123000;Multifunction laser;PC-D;4960999662817;
40083915;20000264;Canon;;Pixma MP 520 X;145132000;Multifunction InkJet;Pixma;;
50078532;20000264;Canon;;Pixma IX 4000 R;145131000;InkJet-Printer;Pixma;;
50072322;20000264;Canon;3742 B 002;Pixma IP 4700;145131000;InkJet-Printer;Pixma;4960999637617;
50072324;20000264;Canon;3748 B 002;Pixma MP 640;145132000;Multifunction InkJet;Pixma;4960999641010;
50072325;20000264;Canon;3746 B 009;Pixma MP 550;145132000;Multifunction InkJet;Pixma;4960999640471;
50072328;20000264;Canon;3749 B 002;Pixma MP 990;145132000;Multifunction InkJet;Pixma;4960999641027;
40096009;20000264;Canon;2711 B 057;PC-D 450;145123000;Multifunction laser;PC-D;4960999618654;
40073102;20000264;Canon;;Pixma IP 6100 D;145131000;InkJet-Printer;Pixma;;
40073105;20000264;Canon;;Pixma MP 450 X;145132000;Multifunction InkJet;Pixma;;
40073163;20000264;Canon;2435 B 009;Pixma IP 2600;145131000;InkJet-Printer;Pixma;4960999533780;
40073164;20000264;Canon;2436 B 009;Pixma MX 850;145132000;Multifunction InkJet;Pixma;4960999533629;
40073165;20000264;Canon;2235 B 017;i-SENSYS MF 4270;145123000;Multifunction laser;i-SENSYS;8714574511924;
40073169;20000264;Canon;2234 B 040;Fax L 140;145142000;Laser fax;Fax L;8714574511788;
40073170;20000264;Canon;;Fax L 160;145142000;Laser fax;Fax L;8714574511771;
40073171;20000264;Canon;;i-SENSYS Fax L 140;145142000;Laser fax;i-SENSYS;;
40073172;20000264;Canon;2234 B 041;i-SENSYS Fax L 160;145142000;Laser fax;i-SENSYS;;
40098921;20000264;Canon;2910 B 006;Pixma MP 190;145132000;Multifunction InkJet;Pixma;4960999577036;
40089492;20000264;Canon;3301 B 010;Pixma MX 860;145132000;Multifunction InkJet;Pixma;4960999625591;
40064793;20001400;Telekom;;Fax 900;145142000;Laser fax;;;
40063833;20000264;Canon;9992 A 006;Pixma IP 4200;145131000;InkJet-Printer;Pixma;4960999257235;
40062736;20000264;Canon;9719 A 017;Pixma IP 4000 R;145131000;InkJet-Printer;Pixma;4960999241326;
40063834;20000264;Canon;9989 A 006;Pixma IP 1600;145131000;InkJet-Printer;Pixma;4960999256702;
40063836;20000264;Canon;0574 B 006;Fax L 100;145142000;Laser fax;Fax L;4960999290317;
40063837;20000264;Canon;0574 B 007;Fax L 120;145142000;Laser fax;Fax L;4960999290324;
40064027;20000264;Canon;9990 A 006;Pixma IP 2200;145131000;InkJet-Printer;Pixma;4960999256887;
40064032;20000264;Canon;9993 A 006;Pixma IP 5200;145131000;InkJet-Printer;Pixma;4960999257341;
40064033;20000264;Canon;0195 B 006;Pixma IP 5200 R;145131000;InkJet-Printer;Pixma;4960999271293;
40064034;20000264;Canon;;Pixma IP 6210 D;145131000;InkJet-Printer;Pixma;4960999258539;
40064035;20000264;Canon;;Pixma IP 6220 D;145131000;InkJet-Printer;Pixma;4960999258423;
40064036;20000264;Canon;;Pixma IP 6600;145131000;InkJet-Printer;Pixma;;
40064037;20000264;Canon;0575 B 005;Pixma MP 150;145132000;Multifunction InkJet;Pixma;4960999275451;
40064038;20000264;Canon;0576 B 005;Pixma MP 170;145132000;Multifunction InkJet;Pixma;4960999275581;
40064039;20000264;Canon;0577 B 005;Pixma MP 450;145132000;Multifunction InkJet;Pixma;4960999275697;
40064040;20000264;Canon;0579 B 005;Pixma MP 500;145132000;Multifunction InkJet;Pixma;4960999275901;
40064041;20000264;Canon;0581 B 005;Pixma MP 800;145132000;Multifunction InkJet;Pixma;4960999276427;
40064949;20000264;Canon;0815 B 005;Fax L 380 S;145142000;Laser fax;Fax L;4960999296753;
40064950;20000264;Canon;0815 B 016;Fax L 390;145142000;Laser fax;Fax L;4960999296845;
40064402;20000264;Canon;;Faxphone L 120;145142000;Laser fax;Faxphone;;
40063526;20000264;Canon;9867 A 015;Laserbase MF 5770;145123000;Multifunction laser;Laserbase;;
50128134;20000264;Canon;;Laserbase MF 5700 Series;145123000;Multifunction laser;Laserbase;;
40064207;20000264;Canon;;Laserbase MF 5750;145123000;Multifunction laser;Laserbase;4960999245225;
40064208;20000264;Canon;9867 A 014;Laserbase MF 5730;145123000;Multifunction laser;Laserbase;4960999245201;
40065304;20000264;Canon;;Pixma MP 530;145132000;Multifunction InkJet;Pixma;4960999276380;
40065305;20000264;Canon;0582 B 005;Pixma MP 800 R;145132000;Multifunction InkJet;Pixma;4960999276465;
40065306;20000264;Canon;0583 B 014;Pixma MP 830;145132000;Multifunction InkJet;Pixma;4960999276519;
40065307;20000264;Canon;9995 A 016;Pixma Pro 9000;145131000;InkJet-Printer;Pixma;4960999359892;
40065309;20000264;Canon;1464 B 016;Pixma IX 4000;145131000;InkJet-Printer;Pixma;4960999390185;
40065310;20000264;Canon;0532 B 016;Pixma IX 5000;145131000;InkJet-Printer;Pixma;4960999359915;
40064096;20000264;Canon;0010 B 006;Pixma IP 6600 D;145131000;InkJet-Printer;Pixma;4960999258287;
40063183;20000264;Canon;9792 A 003;Pixma MP 760;145132000;Multifunction InkJet;Pixma;4960999243177;
50129190;20000264;Canon;;Pixma IP 4000 Series;145131000;InkJet-Printer;Pixma;;
40063017;20001400;Telekom;;T-Fax 8500;145142000;Laser fax;T-Fax;;
40066996;20000264;Canon;;Laserbase MF 3220;145123000;Multifunction laser;Laserbase;;
40066997;20000264;Canon;0989 B 008;Laserbase MF 3240;145123000;Multifunction laser;Laserbase;4960999323466;
50106503;20000264;Canon;;Pixma MP 520 Series;145132000;Multifunction InkJet;Pixma;;
50107295;20000264;Canon;;S 820 Series;145131000;InkJet-Printer;S;;
50142102;20000264;Canon;;I 560 Series;145131000;InkJet-Printer;I;;
50144701;20001400;Telekom;;T-Fax 8400 Series;145142000;Laser fax;T-Fax;;
50145483;20000264;Canon;;Fax L 380 Series;145142000;Laser fax;Fax L;;
50130884;20000264;Canon;;i-SENSYS MF 4690;145123000;Multifunction laser;i-SENSYS;8714574988634;
50136504;20000264;Canon;;Laserbase MF 3200 Series;145123000;Multifunction laser;Laserbase;;
50139435;20000264;Canon;;Faxphone L 100;145142000;Laser fax;Faxphone;;
50115785;20000264;Canon;;Faxphone L 160;145142000;Laser fax;Faxphone;;
50117249;20000264;Canon;;Pixma IP 4600 Series;145131000;InkJet-Printer;Pixma;;
50117434;20000264;Canon;;Pixma IP 6600 Series;145131000;InkJet-Printer;Pixma;;
50112497;20000264;Canon;;Pixma IP 4200 Series;145131000;InkJet-Printer;Pixma;;
50087135;20000264;Canon;;Laserbase MF 3112;145123000;Multifunction laser;Laserbase;;
50087136;20000264;Canon;;Laserbase MF 3222;145123000;Multifunction laser;Laserbase;;
50135007;20000264;Canon;;Pixma IX 4000 Series;145131000;InkJet-Printer;Pixma;;
50133237;20000264;Canon;;i-SENSYS MF 3228;145123000;Multifunction laser;i-SENSYS;;
50147769;20000264;Canon;;Faxphone L 140;145142000;Laser fax;Faxphone;;
50146640;20000264;Canon;;Laserbase MF 3100 Series;145123000;Multifunction laser;Laserbase;;
50098301;20000264;Canon;;i-SENSYS MF 4018;145123000;Multifunction laser;i-SENSYS;;
50100731;20000264;Canon;;Faxphone L 190;145142000;Laser fax;Faxphone;;
50084221;20000264;Canon;;i-SENSYS MF 4122;145123000;Multifunction laser;i-SENSYS;;
50084222;20000264;Canon;;i-SENSYS MF 4650;145123000;Multifunction laser;i-SENSYS;;
50197540;20000264;Canon;;Lasershot LBP-3200 Series;145121000;Laserprinter;Lasershot;;
50106363;20000264;Canon;;Laserbase MF 5600 Series;145123000;Multifunction laser;Laserbase;;
50132031;20000264;Canon;;Pixma MP 640 Series;145132000;Multifunction InkJet;Pixma;;
50169401;20000264;Canon;;Pixma IP 4500 Series;145131000;InkJet-Printer;Pixma;;
50187027;20000264;Canon;;Pixma MP 600 Series;145132000;Multifunction InkJet;Pixma;;
50166327;20000264;Canon;;i-SENSYS MF 4300 Series;145123000;Multifunction laser;i-SENSYS;;
50184262;20000264;Canon;;i-SENSYS MF 4100 Series;145123000;Multifunction laser;i-SENSYS;;
50171055;20001400;Telekom;;T-Fax 8600 Series;145142000;Laser fax;T-Fax;;
50183507;20000264;Canon;;Pixma MX 870 Series;145132000;Multifunction InkJet;Pixma;;
50155258;20000264;Canon;;Pixma MP 620 Series;145132000;Multifunction InkJet;Pixma;;
50170859;20000264;Canon;;i-SENSYS MF 4000 Series;145123000;Multifunction laser;i-SENSYS;;
50173750;20000264;Canon;;I 900 Series;145131000;InkJet-Printer;I;;
50177197;20000264;Canon;;Pixma MP 450 Series;145132000;Multifunction InkJet;Pixma;;
50150662;20000264;Canon;;Laser Class 2000 Series;145142000;Laser fax;Laser Class;;
50158107;20000264;Canon;;Pixma MP 800 Series;145132000;Multifunction InkJet;Pixma;;
50161411;20000264;Canon;;i-SENSYS MF 4600 Series;145123000;Multifunction laser;i-SENSYS;;
50152926;20000264;Canon;;i-SENSYS MF 3200 Series;145123000;Multifunction laser;i-SENSYS;;
50152464;20000264;Canon;;Pixma IP 5200 Series;145131000;InkJet-Printer;Pixma;;
50188276;20000264;Canon;;Pixma MP 640 R;145132000;Multifunction InkJet;Pixma;;
50190684;20000264;Canon;;Fax L 290 Series;145142000;Laser fax;Fax L;;
50189372;20000264;Canon;;Pixma IP 6200 Series;145131000;InkJet-Printer;Pixma;;
50191125;20000264;Canon;;Pixma Pro 9000 Series;145131000;InkJet-Printer;Pixma;;
50295613;20000264;Canon;;Pixma IP 6300 Series;145131000;InkJet-Printer;Pixma;;
50280737;20000264;Canon;;Pixma IP 1100;145131000;InkJet-Printer;Pixma;;
50210052;20000264;Canon;;Pixma IP 6320 D;145131000;InkJet-Printer;Pixma;;
50470172;20000264;Canon;;imageCLASS MF 4600 Series;145123000;Multifunction laser;imageCLASS MF;;
50263043;20000264;Canon;;Pixma IP 3600 Series;145131000;InkJet-Printer;Pixma;;
50284611;20000264;Canon;;I 9900 Series;145131000;InkJet-Printer;I;;
50292839;20000264;Canon;;Pixma IP 1800 Series;145131000;InkJet-Printer;Pixma;;
50475885;20000264;Canon;;imageCLASS MF 4660 pl;145123000;Multifunction laser;imageCLASS MF;;
